职位,经验,学历要求,薪酬,所在城市,所在区,工作类型1,工作类型2,公司简称,公司全称,公司规模,行业,福利优势,发布时间,职位TAG,公司TAG
Python开发工程师,3-5年,本科,11k-22k,杭州,,技术,后端开发,沃趣科技,杭州沃趣科技股份有限公司,50-150人,"企业服务,数据服务",精英团队、股票期权，购房贷款、丰厚奖金,2018-04-02 08:47:50, 企业服务, 股票期权 带薪年假 绩效奖金 年度旅游
Python工程师,1-3年,本科,15k-25k,北京,海淀区,技术,后端开发,学堂在线,北京慕华信息科技有限公司,150-500人,"移动互联网,教育",来吧，与技术大牛过招吧！,2018-04-03 14:24:50, 教育, 节日礼物 股票期权 带薪年假 氛围轻松
Python/ Qt开发工程师,1-3年,本科,6k-12k,广州,天河区,开发/测试/运维类,后端开发,健康猫,广州大象健康科技有限公司,500-2000人,移动互联网,"五险一金,带薪年假,年度旅游,培训拓展",2018-04-03 14:07:04, 视频 智能硬件 C++ Windows, 带薪年假 绩效奖金 岗位晋升 美女多
Python开发岗,1-3年,本科,10k-20k,深圳,南山区,开发/测试/运维类,后端开发,试金石信用,试金石信用服务有限公司,50-150人,"数据服务,移动互联网","福利好,大牛多",2018-04-03 10:43:00, Java 爬虫, 绩效奖金 带薪年假 交通补助 午餐补助
Python开发工程师[亦庄],不限,本科,15k-30k,北京,大兴区,开发/测试/运维类,后端开发,天润融通,北京天润融通科技有限公司,150-500人,"企业服务,数据服务","AI,机器学习",2018-04-03 09:25:18,, 五险一金 带薪年假 免费班车 领导好
python攻城狮,1-3年,本科,9k-15k,北京,大兴区,开发/测试/运维类,后端开发,罗威亚科技,北京罗威亚科技有限公司,15-50人,"移动互联网,硬件","平台好,技术新,大牛带,团队棒",2018-04-02 15:52:16, 云计算 中级 初级 golang django, 扁平管理 技能培训 弹性工作 领导好
Python软件开发工程师,1-3年,本科,7k-9k,青岛,李沧区,开发/测试/运维类,后端开发,七星旭游有限公司,青岛七星旭游软件有限公司,15-50人,移动互联网,"双休,弹性工作",2018-04-02 10:06:59, 大数据 算法 数据开发 NoSQL,
Python开发工程师,3-5年,大专,15k-25k,上海,浦东新区,开发/测试/运维类,后端开发,驻云,上海驻云信息科技有限公司,150-500人,"移动互联网,企业服务","阿里云,晋升快,空间大",2018-04-02 09:26:49,, 股票期权 带薪年假 定期体检 年度旅游
高级Python开发工程师,3-5年,本科,15k-30k,杭州,拱墅区,开发/测试/运维类,后端开发,酷家乐,杭州群核信息技术有限公司,500-2000人,移动互联网,"期权激励,D轮融资,行业第一,技术牛人多",2018-03-29 11:27:37,, 两次加薪 弹性工作 期权丰厚 两次晋升
Python 开发工程师,1-3年,本科,18k-36k,北京,海淀区,开发/测试/运维类,后端开发,知乎,北京智者天下科技有限公司,500-2000人,"移动互联网,社交网络",健康三餐 免费健身游泳 大牛团队,2018-03-12 11:47:31, 信息安全 Java web, 年底双薪 股票期权 带薪年假 定期体检
Python开发工程师,3-5年,本科,15k-25k,杭州,,技术,后端开发,京东金融,京东金融,2000人以上,金融,餐补+年终奖+良好的晋升空间,2018-04-03 08:52:40,, 供应链金融 消费金融 众筹业务 支付业务
Python开发工程师,1-3年,本科,10k-20k,深圳,南山区,开发/测试/运维类,后端开发,行云智能,行云智能（深圳）技术有限公司,15-50人,"移动互联网,硬件","扁平化管理,周末双休,年终奖,发展空间大",2018-04-02 10:02:53, 算法, 年终分红 绩效奖金 专项奖金 带薪年假
Python工程师,1-3年,本科,8k-16k,杭州,滨江区,开发/测试/运维类,后端开发,中科视拓,中科视拓（北京）科技有限公司,50-150人,企业服务,"大咖分享,补贴绩效奖,升职加薪快,团队氛围好",2018-03-09 14:24:22, node.js php, 交通补助 午餐补助 扁平管理 弹性工作
Python开发工程师,3-5年,本科,14k-20k,深圳,南山区,开发/测试/运维类,后端开发,盖威,深圳市盖威科技有限公司,150-500人,金融,福利待遇好,2018-04-03 16:11:47, linux C++, 绩效奖金 五险一金 交通补助 带薪年假
Python开发工程师,3-5年,本科,20k-40k,北京,海淀区,开发/测试/运维类,后端开发,瓜子二手车直卖网,车好多旧机动车经纪(北京)有限公司,2000人以上,O2O,最高19薪 独角兽公司 学习型团队,2018-04-02 15:24:39, 高级 中级 初级 php Java, 带薪年假 弹性工作 免费班车 美女多
Python开发工程师,1年以下,大专,4k-6k,广州,天河区,开发/测试/运维类,后端开发,广州玖维信息科技有限公司,广州玖维信息科技有限公司,150-500人,"移动互联网,数据服务","双休,提成,带薪休假,五险一金",2018-04-03 14:25:00, 初级 实习 linux Java, 年底双薪 专项奖金 年终分红 带薪年假
高级Python开发工程师,3-5年,本科,20k-40k,北京,海淀区,开发/测试/运维类,后端开发,乐信圣文,北京乐信圣文科技有限责任公司,50-150人,移动互联网,"项目奖金,五险一金,季度奖金,年终奖",2018-04-03 11:29:12,, 交通补助 午餐补助 项目奖金 季度奖金
Python开发工程师-pass平台方向,5-10年,本科,25k-50k,北京,通州区,开发/测试/运维类,后端开发,京东金融,京东金融,2000人以上,金融,年终奖，带薪年假，班车，午餐晚餐,2018-04-03 08:52:39, 后端开发 大数据 运维, 供应链金融 消费金融 众筹业务 支付业务
初级Python工程师,不限,大专,4k-7k,广州,天河区,开发/测试/运维类,后端开发,广州楠天,广州楠天网络科技有限公司,15-50人,移动互联网,"五险一金,下午茶",2018-04-02 17:53:31, 信息安全 php C++ Java,
PYTHON高级开发工程师,3-5年,不限,18k-25k,深圳,罗湖区,开发/测试/运维类,后端开发,博奥特科技,深圳市博奥特科技有限公司,150-500人,"移动互联网,金融","前景广阔,全新项目,提升空间大,项目背景强",2018-04-02 08:52:09, 云计算 中级 初级 web, 绩效奖金 领导好 帅哥多 美女多
python开发工程师,1-3年,本科,12k-15k,武汉,洪山区,开发/测试/运维类,数据开发,绿盟科技,北京神州绿盟信息安全科技股份有限公司,500-2000人,信息安全,年终奖，丰厚补贴，弹性工作，平台好,2018-03-29 15:54:52, 信息安全 中级 大数据 Java Ruby, 技能培训 节日礼物 股票期权 带薪年假
Python开发工程师,3-5年,本科,10k-20k,武汉,洪山区,开发/测试/运维类,后端开发,阿博茨科技,北京阿博茨科技有限公司,50-150人,移动互联网,"人工智能,大数据,金融科技",2018-03-26 12:07:44, C++ Java MySQL 算法 架构, 五天工作制 带薪假期 健康午餐 体育课
Python高级开发,5-10年,本科,15k-30k,上海,浦东新区,开发/测试/运维类,后端开发,趣头条,上海基分文化传播有限公司,500-2000人,移动互联网,发展空间,2018-04-03 15:26:14, 中级 爬虫, 专项奖金 带薪年假 弹性工作 管理规范
Python高级研发工程师,3-5年,本科,10k-15k,成都,高新区,开发/测试/运维类,后端开发,乐为科技,四川乐为科技有限公司,15-50人,"数据服务,信息安全","项目奖励,年终奖励",2018-04-03 15:06:23, 视频 大数据 Java 爬虫, 带薪年假 绩效奖金 领导好 五险一金
Python研发工程师,1-3年,本科,5k-9k,重庆,渝中区,开发/测试/运维类,后端开发,为国人境外旅行提供通讯相关服务,上海途宝网络技术有限公司,15-50人,"移动互联网,旅游","先进技术,发展前景好,移动互联网,待遇优",2018-04-02 13:38:42, 中级 后端开发 Java MySQL PostgreSQL,
python开发工程师,1-3年,本科,15k-20k,上海,徐汇区,开发/测试/运维类,后端开发,众标网络科技,北京众标网络科技有限公司上海分公司,50-150人,"电子商务,企业服务","前景好,大数据,福利待遇好,大牛多",2018-04-02 11:24:12,, 股票期权 带薪年假 年度旅游 扁平管理
Python工程师,1-3年,本科,15k-30k,北京,朝阳区,开发/测试/运维类,后端开发,大鱼自助游,北京鱼行天下网络科技有限公司,50-150人,旅游,"氛围轻松,有成就感,成长空间大",2018-03-15 11:18:06, 教育 资深 高级 中级 php, 五险一金 专项奖金 半年调薪 团建旅游
资深Python工程师,5-10年,本科,35k-45k,北京,朝阳区,开发/测试/运维类,后端开发,LBE 科技,永杨安风（北京）科技有限公司,50-150人,移动互联网,"移动互联网,绩效奖金,妹子多,国外团建",2018-04-03 10:49:15, 移动互联网 高级, 绩效奖金 专项奖金 带薪年假 节日礼物
资深Python工程师,3-5年,本科,18k-28k,上海,徐汇区,技术,后端开发,壤歌,上海壤歌市场营销策划有限公司,50-150人,"移动互联网,企业服务","技术氛围,技术驱动,弹性工作,文化年轻",2018-04-02 10:33:19,, 股票期权 绩效奖金 岗位晋升 扁平管理
Python软件开发工程师,1年以下,大专,3k-5k,广州,天河区,开发/测试/运维类,后端开发,广州玖维信息科技有限公司,广州玖维信息科技有限公司,150-500人,"移动互联网,数据服务","周末双休,五险一金,节日福利,提供食宿",2018-04-03 16:12:09, 初级 实习 web 爬虫 服务器端, 年底双薪 专项奖金 年终分红 带薪年假
Python高级开发工程师,3-5年,本科,10k-15k,成都,武侯区,开发/测试/运维类,后端开发,成都肆零肆,成都市肆零肆网络科技有限公司,15-50人,"信息安全,数据服务","六险一金,带薪年假,项目提成,周末双休",2018-03-30 13:47:25, 资深 数据分析 大数据, 弹性工作 帅哥多 节日礼物 管理规范
Python开发工程师,1-3年,本科,4k-8k,南宁,西乡塘区,开发/测试/运维类,后端开发,优趣工作室,北京优趣天下信息技术有限公司,15-50人,移动互联网,"创业,极客,技术驱动",2018-03-26 23:15:18, C/C++ linux php Java iOS, 办公环境温馨 周末双休 交通方便 年底双薪
Python,1-3年,大专,10k-20k,武汉,武昌区,技术,后端开发,榆钱金融,北京榆钱投资管理有限公司,150-500人,金融,"弹性工作,氛围好,福利好,前景好",2018-03-20 09:47:57, 大数据 爬虫 搜索, 技能培训 带薪年假 岗位晋升 弹性工作
Python,1-3年,大专,10k-20k,深圳,福田区,开发/测试/运维类,后端开发,博奥特科技,深圳市博奥特科技有限公司,150-500人,"移动互联网,金融","行业前景好,发展空间大",2018-04-03 13:53:27, 金融 大数据 数据分析 量化, 绩效奖金 领导好 帅哥多 美女多
Python开发工程师,1-3年,本科,10k-20k,上海,杨浦区,开发/测试/运维类,后端开发,DAOCLOUD,上海道客网络科技有限公司,150-500人,"企业服务,数据服务","大牛环绕,弹性工作,福利优厚",2018-04-03 10:30:34, 云计算 linux Java, 工程师文化 业界大牛 改变世界 豪华团队
Python开发工程师,1-3年,本科,10k-15k,上海,浦东新区,开发/测试/运维类,后端开发,微瞰智能,微瞰智能科技（上海）有限公司,少于15人,"数据服务,医疗健康","五险一金,绩效奖金,扁平管理,股票期权",2018-04-02 14:04:41, php Java, 股票期权 绩效奖金 年终分红 弹性工作
Python开发工程师,3-5年,本科,10k-20k,北京,海淀区,开发/测试/运维类,后端开发,多点Dmall,多点生活（中国）网络科技有限公司,500-2000人,"电子商务,O2O","平台大,福利好,氛围好,互联网电商",2018-04-02 12:56:41, 电商 大数据 数据分析 数据挖掘, 技能培训 年底双薪 节日礼物 绩效奖金
python工程师,1-3年,本科,10k-20k,上海,徐汇区,开发/测试/运维类,后端开发,上海大岂网络科技有限公司,上海大岂网络科技有限公司,50-150人,移动互联网,"B轮公司,大数据团队,发展空间大,超长年假",2018-04-02 10:21:05, php Java MySQL, 带薪年假 定期体检 年终分红 节日礼物
高级Python开发工程师,3-5年,本科,16k-23k,深圳,南山区,开发/测试/运维类,软件开发,杉岩数据,深圳市杉岩数据技术有限公司,15-50人,"企业服务,数据服务","领导好,发展空间大,9点半上班,扁平化管理",2018-04-02 09:30:42, 云计算 软件开发 Java 存储, 股票期权 扁平管理 领导好 五险一金
Python,1-3年,本科,8K-10K,成都,高新区,开发/测试/运维类,后端开发,捷云智慧,成都捷云智慧科技有限公司,15-50人,移动互联网,"绩效奖金,节日福利",2018-03-29 16:07:33, 后端开发,
Python工程师,1-3年,本科,10k-20k,上海,普陀区,开发/测试/运维类,后端开发,米闲,上海米闲企业管理合伙企业(有限合伙),15-50人,"移动互联网,企业服务","追求极客,业务明确",2018-03-28 10:11:55, 中级 初级 Java django,
高级python工程师,3-5年,本科,20k-40k,上海,长宁区,开发/测试/运维类,后端开发,再惠网络,再惠（上海）网络科技有限公司,150-500人,"移动互联网,企业服务",硅谷文化；免费餐饮,2018-03-06 11:50:01, 资深, 午餐晚餐补助 领导亲和逗逼 丰厚股票期权 年底2-5薪
Python开发工程师,不限,本科,15k-30k,深圳,南山区,技术,后端开发,极光,深圳市和讯华谷信息技术有限公司,150-500人,"移动互联网,数据服务",五险一金、14薪/年、下午茶、工作餐等等,2018-04-03 15:24:55, 云计算 flask JavaScript django, 五险一金 文体活动 团建旅游 美味晚餐
python开发工程师助理可应届,1年以下,大专,4k-6k,无锡,崇安区,开发/测试/运维类,后端开发,燃网络,南京网燃网络科技有限公司,少于15人,"移动互联网,游戏","福利待遇好,晋升快,五险一金,定期体检",2018-04-03 14:59:32, php Java 后端,
python工程师,1-3年,本科,15k-30k,北京,海淀区,开发/测试/运维类,后端开发,乐信圣文,北京乐信圣文科技有限责任公司,50-150人,移动互联网,"五险一金,免费工作餐,年终奖,高端医疗",2018-04-03 11:29:17, 医疗健康 node.js Java, 交通补助 午餐补助 项目奖金 季度奖金
Python,3-5年,本科,15k-30k,深圳,南山区,技术,后端开发,糗事百科,心灵失重（北京）科技有限公司,50-150人,移动互联网,老司机来开车,2018-04-03 10:54:11, 文化娱乐, 媲美名企高薪 无限量零食 五险一金 年度旅游
Python开发工程师,3-5年,本科,5K-10K,郑州,高新区,开发/测试/运维类,数据开发,元鼎科技,北京元鼎时代科技股份有限公司河南分公司,150-500人,移动互联网,五险一金&nbsp;&nbsp;扁平化管理&nbsp;薪资待遇好,2018-04-02 16:22:40, 高级 中级 数据分析 数据挖掘 数据仓库 数据治理," """""
Python Developer Python开发,1-3年,大专,6k-12k,成都,锦江区,开发/测试/运维类,软件开发,NEXA,昊盈信息技术（成都）有限公司,150-500人,"移动互联网,游戏","五险一金,带薪年假,年度体检,交通补贴",2018-04-02 08:36:40, 中级 初级 linux Java, 年底双薪 节日礼物 技能培训 绩效奖金
Python开发工程师,1-3年,本科,15k-30k,北京,海淀区,开发/测试/运维类,后端开发,iHandy,北京汉迪移动互联网科技股份有限公司,150-500人,"移动互联网,社交网络","六险一金,水果零食多,按摩椅,大牛云集",2018-04-01 17:45:26, 中级 服务器端 node.js Java 后端, 带薪年假 定期体检 文化open 美女多
高级爬虫工程师/python开发,3-5年,大专,10k-15k,长沙,岳麓区,开发/测试/运维类,数据开发,连载阅读,湖南本地星网络科技有限公司,15-50人,"移动互联网,电子商务","优秀团队,区块链",2018-03-31 13:52:28, hadoop 数据分析 数据挖掘,
实习Python工程师,不限,本科,5k-8k,北京,朝阳区,开发/测试/运维类,后端开发,星尘数据,北京星尘纪元智能科技有限公司,15-50人,"数据服务,移动互联网","极客团队,算法加持,硅谷文化,百度阿里",2018-03-29 11:16:20, php Java, 股票期权 带薪年假 交通补助 弹性工作
python工程师,1-3年,本科,10k-20k,郑州,中原区,开发/测试/运维类,后端开发,中原消费金融,河南中原消费金融股份有限公司,50-150人,"移动互联网,金融","领导好,待遇优",2018-03-14 11:07:54, Java 爬虫, 绩效奖金 带薪年假 定期体检 节日礼物
Python开发工程师（上海）,不限,本科,15k-30k,上海,浦东新区,开发/测试/运维类,后端开发,平安科技,平安科技（深圳）有限公司,2000人以上,金融,世界50强 节日福利 绩效丰厚,2018-04-03 09:07:29, 大数据 数据挖掘, 节日礼物 年度旅游 岗位晋升 技能培训
python工程师,1-3年,本科,10k-20k,北京,海淀区,开发/测试/运维类,后端开发,陪我,博瑞天下（北京)科技有限公司,50-150人,"移动互联网,金融","竞争力薪酬,年终奖金,实力团队,福利多",2018-04-02 17:26:22, 初级 后端开发 服务器端 Ruby 系统分析, 股票期权 扁平管理 美女多 五险一金
python工程师,1-3年,本科,8k-12k,太原,小店区,开发/测试/运维类,后端开发,优逸客,山西优逸客科技有限公司,50-150人,移动互联网,五险一金,2018-03-29 14:23:47, php MySQL 后端 人工智能, 技能培训 专项奖金 绩效奖金 岗位晋升
Python工程师,3-5年,本科,10k-20k,咸阳,渭城区,开发/测试/运维类,后端开发,奥卡云,西安奥卡云数据科技有限公司,50-150人,数据服务,"薪资高,加班少,管吃住,牛人多",2018-03-27 09:39:21, 中级 MySQL, 绩效奖金 交通补助 午餐补助
Python开发工程师,1-3年,本科,15k-30k,北京,朝阳区,开发/测试/运维类,后端开发,一起作业网,上海一起作业信息科技有限公司,500-2000人,"移动互联网,教育",核心部门,2018-04-03 09:51:36, 教育 django, 节日礼物 岗位晋升 扁平管理 领导好
Python开发工程师,1-3年,大专,9k-16k,深圳,福田区,开发/测试/运维类,后端开发,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,"移动互联网,金融","发展平台,团队合作,五险一金,法定节假日",2018-04-03 08:59:36, 金融 爬虫 django,
资深Python工程师,3-5年,本科,15k-25k,杭州,西湖区,开发/测试/运维类,后端开发,钱粒科技,浙江钱粒科技有限公司,150-500人,移动互联网,"行业前景好,公司发展快,团队牛人多,奖金绩效多",2018-04-02 09:57:53, 信息安全 分布式 网络安全 爬虫 架构, 餐补 弹性工作 扁平管理 绩效奖金
高级Python工程师,1-3年,本科,10k-20k,长沙,芙蓉区,开发/测试/运维类,数据开发,康通,湖南康通电子股份有限公司,150-500人,移动互联网,"福利齐全,大牛并肩,钱途前景",2018-03-27 09:55:05, 数据分析 算法 机器学习 深度学习 语音处理 人工智能, 技能培训 效益奖金 岗位晋升 通讯津贴
JAVA/Python工程师,3-5年,本科,5k-10k,烟台,开发区,开发/测试/运维类,后端开发,欣和企业,烟台欣和企业食品有限公司,2000人以上,生活服务,"领导好,氛围好,有班车",2018-03-12 09:58:28, 大数据 web, 技能培训 节日礼物 绩效奖金 岗位晋升
Python,1-3年,本科,5k-10k,武汉,洪山区,开发/测试/运维类,后端开发,研众科技,武汉研众科技有限公司,少于15人,"移动互联网,O2O","免费午餐,不打卡,寝室氛围,奖金",2018-04-03 10:55:49, 后端 全栈 node.js, 股票期权 岗位晋升 扁平管理 管理规范
Python 开发工程师,1年以下,本科,6k-12k,上海,杨浦区,开发/测试/运维类,后端开发,灵兮科技,上海灵兮信息科技有限公司,15-50人,"移动互联网,企业服务","人工智能,业务发展快,零食随便吃,大牛",2018-04-02 14:52:49, 中级 数据挖掘 人工智能 算法 机器学习, 节日礼物 股票期权 带薪年假 年度旅游
高级python工程师,3-5年,本科,25k-40k,北京,海淀区,开发/测试/运维类,后端开发,今日头条,北京字节跳动科技有限公司,2000人以上,"移动互联网,数据服务",六险一金，高薪期权，弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理，团队氛围好，优厚薪资,2018-04-02 14:33:00, 后端开发, 扁平管理 弹性工作 大厨定制三餐 就近租房补贴
Python研发工程师,1-3年,本科,15k-30k,上海,闸北区,开发/测试/运维类,运维安全,房多多,深圳市房多多网络科技有限公司,2000人以上,"移动互联网,O2O",平台好，发展广阔，技术大牛多,2018-04-02 10:00:38, 云计算 资深 高级 linux OpenStack 系统工程师, 节日礼物 带薪年假 扁平管理 美女多
python研发工程师,1-3年,本科,6k-11k,南通,崇川区,开发/测试/运维类,后端开发,帝联科技,上海帝联信息科技股份有限公司,500-2000人,移动互联网,"领导好,晋升通道,有培训",2018-03-30 17:23:36, 中级 linux, 节日礼物 技能培训 带薪年假 绩效奖金
Python开发 （长沙）,1-3年,本科,6k-10k,长沙,岳麓区,开发/测试/运维类,后端开发,信美分期,深圳前海信美分期科技有限公司,150-500人,"金融,移动互联网","平台大,升职机会多,加薪快",2018-03-29 17:23:31, 爬虫 数据挖掘,
32-高级Python开发工程师,1-3年,大专,15k-25k,上海,杨浦区,开发/测试/运维类,后端开发,华云数据,无锡华云数据技术服务有限公司,500-2000人,"移动互联网,数据服务",各项补贴 节日福利 弹性上下班 年度旅游,2018-04-03 09:13:03, 中级 Java web, 节日礼物 带薪年假 岗位晋升 扁平管理
Python 工程师,3-5年,本科,15k-30k,上海,闵行区,开发/测试/运维类,软件开发,果雪科技,上海果雪信息科技有限公司,50-150人,移动互联网,"技术牛,福利好,氛围好,老板牛",2018-03-26 10:45:22, 云计算 电商 中级 软件开发 Ruby, 年底双薪 带薪年假 午餐补助 通讯津贴
大数据应用工程师-Python,3-5年,大专,20k-35k,上海,徐汇区,开发/测试/运维类,数据开发,上海拿米金服,上海拿米金融信息服务有限公司,150-500人,"移动互联网,金融","环境佳,技术强,领导好",2018-04-03 12:20:13, 爬虫, 年底双薪 股票期权 带薪年假 通讯津贴
Python研发工程师,1-3年,本科,10k-20k,上海,杨浦区,开发/测试/运维类,软件开发,DAOCLOUD,上海道客网络科技有限公司,150-500人,"企业服务,数据服务","15天年假,5天病假,大牛环绕,技术氛围",2018-04-03 10:30:36, 云计算 软件开发, 工程师文化 业界大牛 改变世界 豪华团队
Python开发工程师,3-5年,本科,12k-20k,深圳,南山区,开发/测试/运维类,软件开发,上海炽聚,上海炽聚网络科技有限公司,50-150人,"电子商务,企业服务",热点行业，五险一金，待遇从优,2018-03-28 14:47:03, 中级 软件开发 linux 运维 云管理, 绩效奖金 交通补助 带薪年假 定期体检
高级python开发工程师,3-5年,本科,20k-40k,北京,海淀区,开发/测试/运维类,后端开发,混沌大学,混沌时代（北京）教育科技有限公司,150-500人,"移动互联网,教育","福利待遇好,超棒团队,弹性工作",2018-03-06 13:39:51, 后端开发 服务器端, 弹性工作 扁平管理 领导好 五险一金
Python/JAVA研发工程师,1-3年,本科,8k-15k,武汉,洪山区,技术,后端开发,绿盟科技,北京神州绿盟信息安全科技股份有限公司,500-2000人,信息安全,五险一金 补充医疗保险 商业保险 餐补,2018-04-03 15:28:23,, 技能培训 节日礼物 股票期权 带薪年假
高级Python开发工程师,3-5年,本科,25k-40k,北京,海淀区,开发/测试/运维类,后端开发,今日头条,北京字节跳动科技有限公司,2000人以上,"移动互联网,数据服务",六险一金，弹性工作，免费三餐，租房补贴，带薪休假，休闲下午茶，扁平管理，健身瑜伽，过亿用户，职业大牛，晋升空间，团队氛围好，优厚薪资,2018-04-01 15:00:56, 后端开发, 扁平管理 弹性工作 大厨定制三餐 就近租房补贴
大数据应用工程师-Python,3-5年,大专,20k-40k,上海,徐汇区,开发/测试/运维类,后端开发,上海拿米金服,上海拿米金融信息服务有限公司,150-500人,"移动互联网,金融","环境好,氛围好",2018-04-03 11:50:59, 爬虫 数据分析, 年底双薪 股票期权 带薪年假 通讯津贴
